Subject,Start Date,Start Time,End Date,End Time,All day Event,Description
ELECTIVA III  Aula: L302    Grupo: 1   ,23/03/2026,4:00:00 p.m.,23/03/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,23/03/2026,2:00:00 p.m.,23/03/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,23/03/2026,8:00:00 a.m.,23/03/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,24/03/2026,4:00:00 p.m.,24/03/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,24/03/2026,7:00:00 a.m.,24/03/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,24/03/2026,2:00:00 p.m.,24/03/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,25/03/2026,4:00:00 p.m.,25/03/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,25/03/2026,2:00:00 p.m.,25/03/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,25/03/2026,10:00:00 a.m.,25/03/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,25/03/2026,12:00:00 p.m.,25/03/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,26/03/2026,2:00:00 p.m.,26/03/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,27/03/2026,7:00:00 a.m.,27/03/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,27/03/2026,4:00:00 p.m.,27/03/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,27/03/2026,12:00:00 p.m.,27/03/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,27/03/2026,10:00:00 a.m.,27/03/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,30/03/2026,4:00:00 p.m.,30/03/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,30/03/2026,2:00:00 p.m.,30/03/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,30/03/2026,8:00:00 a.m.,30/03/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,31/03/2026,4:00:00 p.m.,31/03/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,31/03/2026,7:00:00 a.m.,31/03/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,31/03/2026,2:00:00 p.m.,31/03/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,01/04/2026,4:00:00 p.m.,01/04/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,01/04/2026,2:00:00 p.m.,01/04/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,01/04/2026,10:00:00 a.m.,01/04/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,01/04/2026,12:00:00 p.m.,01/04/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,02/04/2026,2:00:00 p.m.,02/04/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,03/04/2026,7:00:00 a.m.,03/04/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,03/04/2026,4:00:00 p.m.,03/04/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,03/04/2026,12:00:00 p.m.,03/04/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,03/04/2026,10:00:00 a.m.,03/04/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,06/04/2026,4:00:00 p.m.,06/04/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,06/04/2026,2:00:00 p.m.,06/04/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,06/04/2026,8:00:00 a.m.,06/04/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,07/04/2026,4:00:00 p.m.,07/04/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,07/04/2026,7:00:00 a.m.,07/04/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,07/04/2026,2:00:00 p.m.,07/04/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,08/04/2026,4:00:00 p.m.,08/04/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,08/04/2026,2:00:00 p.m.,08/04/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,08/04/2026,10:00:00 a.m.,08/04/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,08/04/2026,12:00:00 p.m.,08/04/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,09/04/2026,2:00:00 p.m.,09/04/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,10/04/2026,7:00:00 a.m.,10/04/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,10/04/2026,4:00:00 p.m.,10/04/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,10/04/2026,12:00:00 p.m.,10/04/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,10/04/2026,10:00:00 a.m.,10/04/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,13/04/2026,4:00:00 p.m.,13/04/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,13/04/2026,2:00:00 p.m.,13/04/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,13/04/2026,8:00:00 a.m.,13/04/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,14/04/2026,4:00:00 p.m.,14/04/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,14/04/2026,7:00:00 a.m.,14/04/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,14/04/2026,2:00:00 p.m.,14/04/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,15/04/2026,4:00:00 p.m.,15/04/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,15/04/2026,2:00:00 p.m.,15/04/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,15/04/2026,10:00:00 a.m.,15/04/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,15/04/2026,12:00:00 p.m.,15/04/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,16/04/2026,2:00:00 p.m.,16/04/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,17/04/2026,7:00:00 a.m.,17/04/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,17/04/2026,4:00:00 p.m.,17/04/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,17/04/2026,12:00:00 p.m.,17/04/2026,2:00:00 p.m.,FALSE,
